"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"DE219","44391.3973988656","40.3340467246359","3.7","10.0","9.4","4.2","0.5"
"ES704","22946.6398040478","62.6980212504493","34.4","7.3","4.5","37.2","2.8"
"ES531","29889.7157715413","79.5002839295855","18.1","7.7","6.5","19.4","1.3"
"DE227","45027.9983490522","51.6845211327473","-12.4","9.7","10.3","-12.9","-0.5"
"FRY50","10609.9441318408","28.0342017261058","3.7","35.3","3.2","35.8","32.1"
"LV009","13267.5753387522","49.7740170742655","15.5","8.8","16.2","8.1","-7.4"
"AT225","35553.5100947693","74.1409484997806","9.3","8.1","11.9","5.4","-3.9"
"FRI23","30531.2562090872","48.598692936811","5.2","8.9","12.1","2.0","-3.2"
"ITC33","37986.7433649538","107.168810450672","9.2","5.7","15.8","-1.0","-10.2"
"RO115","9885.18690047009","107.397014798873","4.8","9.7","13.6","0.9","-3.9"
"DE126","75889.2477014793","51.0532948937085","11.3","9.5","10.8","10.0","-1.3"
"DE232","97931.5105964492","57.5086946894009","-39.8","9.6","9.9","-40.1","-0.3"
"DE112","81392.9983850252","39.0645862739862","-4.2","10.1","10.6","-4.7","-0.5"
"ES431","20429.556892181","69.3268408671994","1.5","6.8","11.0","-2.7","-4.2"
"PL636","12705.7036743966","80.7244138705602","-0.5","8.4","11.9","-4.1","-3.6"
"AT221","58027.73252811","60.7007738796844","17.1","9.4","9.4","17.2","0.0"
"DEB17","35916.3781179507","42.2379621807785","7.3","8.8","13.3","2.8","-4.5"
"FRI11","26259.5328169099","65.5737704918033","10.8","7.4","15.1","3.1","-7.7"
"DE408","25139.4765710704","41.3487155377141","21.7","7.0","13.3","15.5","-6.2"
"CZ010","62304.6543610427","142.495801336986","61.7","10.3","9.7","62.2","0.5"
"DEE0C","29741.0172780938","33.3701717027413","3.5","6.2","19.3","-9.6","-13.1"
"BE336","33886.6888498083","69.5859006313339","9.6","10.6","10.5","9.7","0.1"
"DEG01","47212.1260440751","46.6169856537868","30.6","7.6","12.6","25.7","-5.0"
"DK041","53479.7054178076","32.874139010645","8.1","9.1","10.7","6.5","-1.6"
"DE94D","31824.8783035937","49.5870271252394","-3.8","9.3","12.1","-6.6","-2.7"
"BE233","33086.4620443957","85.6399013428337","18.0","8.8","11.5","15.3","-2.7"
"FRY40","25432.7462024081","50.4908390329359","1.7","14.9","7.2","9.4","7.7"
"DE933","29228.2603631168","50.5148554832497","24.3","8.4","11.9","20.8","-3.6"
"NL32A","39882.5736940863","107.65519209318","15.5","9.7","10.8","14.4","-1.2"
"BE258","42699.0216147386","98.3220773359553","9.0","5.8","14.6","0.2","-8.8"
"DEA57","43726.8139899078","49.1850820718056","14.2","8.6","13.6","9.2","-5.0"
"ITH53","42040.9409687473","105.025628536529","7.0","6.9","11.3","2.7","-4.3"
"DE142","41454.792303073","40.4254022958495","4.7","9.3","8.9","5.1","0.4"
"RS127","9519.24694957571","142.828197493724","-23.5","8.6","16.3","-31.2","-7.7"
"FI1C7","43882.3726230087","43.6207719141712","-1.8","5.7","15.8","-11.9","-10.1"
"BG422","6014.09937061474","193.711851837767","-1.5","7.8","20.3","-14.0","-12.5"
"HR024","11222.1801636166","58.5558791493175","-8.2","8.8","16.1","-15.5","-7.3"
"DK013","49203.3429507805","31.579889449078","11.6","8.6","11.0","9.2","-2.4"
"ITH36","39115.8612050392","116.444503754851","5.8","6.4","11.0","1.2","-4.6"
"DE732","45316.1844953751","48.7538689996958","-6.5","9.2","12.3","-9.6","-3.1"
"LT024","14223.6621246216","79.4552477845619","5.9","6.6","17.2","-4.7","-10.6"
"HU322","11015.6792046433","36.0005907217673","-0.6","9.6","16.0","-7.0","-6.4"
"ITC15","34692.7463831386","93.1155295703976","8.0","6.5","12.8","1.6","-6.4"
"DEA53","40126.1704281104","35.5566389172977","11.2","9.9","14.6","6.6","-4.7"
"DEG05","35825.9387761368","25.3308360711106","12.8","7.3","14.4","5.6","-7.1"
"BE310","62330.7494295198","95.7091610471021","8.8","8.7","9.4","8.1","-0.7"
"PL417","15513.365467277","116.828438540159","-0.6","9.4","10.8","-1.9","-1.4"
"DE265","38059.814023624","48.8139656272353","2.0","8.8","14.3","-3.5","-5.5"
"DE937","40654.3596705474","49.6360628117405","2.2","8.9","13.2","-2.1","-4.3"
"PL926","15634.4314227306","122.891340646994","0.4","9.0","12.7","-3.4","-3.7"
"PL637","11234.2568096285","98.2784961061221","-0.1","9.6","11.5","-2.1","-1.9"
