"geo","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"PT192","35.1","6.6","13.5","28.2","-6.9"
"DEB12","2.6","8.5","13.2","-2.1","-4.7"
"ES523","21.0","6.9","9.9","18.0","-3.0"
"FRJ26","5.9","8.0","14.4","-0.4","-6.3"
"PL922","-1.1","8.6","13.1","-5.6","-4.5"
"PL214","5.5","9.0","9.9","4.7","-0.9"
"PL924","-2.4","9.1","12.4","-5.7","-3.3"
"ITI31","5.8","6.1","12.7","-0.8","-6.7"
"TRC22","-8.9","19.7","3.3","7.5","16.4"
"DE405","21.0","7.3","14.1","14.1","-6.8"
"PT196","9.3","5.5","17.8","-3.1","-12.3"
"RS217","-13.9","12.2","12.6","-14.2","-0.4"
"DEG0U","18.1","5.8","18.1","5.8","-12.3"
"PL841","1.6","9.0","11.2","-0.6","-2.2"
"TRA21","-43.9","20.1","3.4","-27.1","16.8"
"DEB3H","19.3","7.6","12.3","14.5","-4.7"
"DEA1E","-5.7","7.8","13.5","-11.4","-5.7"
"BG423","4.2","8.8","19.3","-6.2","-10.5"
"SI035","8.4","7.6","12.4","3.6","-4.8"
"FRE21","-2.6","10.2","11.8","-4.2","-1.6"
"NL363","13.2","9.0","9.0","13.2","0.0"
"PL524","-0.7","8.1","12.4","-5.0","-4.4"
"ITI14","7.7","6.3","13.1","0.9","-6.8"
"DE245","-0.1","8.9","11.7","-2.9","-2.8"
"FI1D8","0.3","6.1","16.7","-10.4","-10.7"
"DE147","5.6","9.2","11.3","3.4","-2.1"
"RO213","10.8","12.1","12.1","10.8","-0.1"
"HU232","3.7","8.4","15.9","-3.7","-7.5"
"DE121","17.2","7.5","14.5","10.2","-7.0"
"ES230","12.3","6.8","10.8","8.3","-4.0"
"ITF21","1.1","6.3","15.5","-8.1","-9.2"
"DE139","27.7","8.3","11.0","25.0","-2.7"
"DEG0E","-2.4","6.3","17.1","-13.3","-10.8"
"FRD11","9.1","9.0","11.3","6.8","-2.2"
"DEF03","5.9","8.2","14.9","-0.8","-6.7"
"DE21K","-29.1","9.5","11.5","-31.1","-2.0"
"DE268","-12.2","9.9","13.1","-15.4","-3.2"
"ITC11","5.4","6.1","13.3","-1.7","-7.1"
"DE913","35.8","9.1","12.8","32.1","-3.7"
"FI1DA","2.6","5.4","17.4","-9.4","-12.0"
"DE21L","17.0","7.4","11.7","12.7","-4.3"
"ES300","18.9","7.5","7.5","18.9","0.0"
"PL228","-0.7","7.2","13.9","-7.4","-6.7"
"NO071","5.4","8.5","10.2","3.7","-1.7"
"ES630","-1.4","8.8","7.4","0.0","1.4"
"FRG01","7.6","10.9","8.7","9.7","2.1"
"FI197","12.6","8.1","10.8","9.9","-2.6"
"PL431","-1.0","7.3","12.1","-5.8","-4.8"
"SI031","4.4","7.7","13.2","-1.1","-5.5"
"SK010","6.2","9.8","9.6","6.4","0.2"
"BE332","5.6","9.9","11.3","4.3","-1.3"
"NO093","12.1","8.0","9.4","10.7","-1.4"
"EL644","-3.1","6.5","16.6","-13.2","-10.1"
"CH012","11.6","8.9","9.0","11.5","-0.2"
"DE251","-47.6","11.4","14.7","-50.9","-3.3"
"FI1D9","2.7","9.3","9.7","2.3","-0.4"
"DEA22","-28.6","9.6","10.5","-29.5","-1.0"
"PT191","32.3","7.4","11.1","28.6","-3.6"
"DEE01","-21.1","6.3","20.0","-34.7","-13.7"
"ES707","9.6","4.9","10.6","3.9","-5.6"
"FRB04","5.5","9.5","10.0","4.9","-0.6"
"FRD13","1.5","8.7","13.6","-3.4","-5.0"
"PT112","26.6","7.9","8.8","25.8","-0.8"
"NL33B","13.1","10.7","8.9","14.8","1.8"
"DE949","2.4","10.2","11.6","0.9","-1.4"
"NL337","13.2","9.0","9.0","13.2","0.0"
"SE213","4.7","8.8","11.4","2.2","-2.6"
"AL022","2.7","9.9","6.3","6.2","3.5"
"DE246","-0.7","8.6","13.1","-5.2","-4.5"
"DE71C","-7.5","9.3","11.7","-9.9","-2.4"
"DEF0D","2.5","8.6","12.9","-1.7","-4.2"
"RS214","-11.5","8.7","17.2","-20.0","-8.6"
"TR334","4.3","9.7","8.0","6.1","1.7"
"PL634","7.8","10.2","8.7","9.3","1.5"
"FRJ28","5.1","9.8","11.6","3.4","-1.8"
"DE237","11.3","10.8","12.7","9.5","-1.8"
"PT194","18.7","6.4","14.4","10.8","-8.0"
"AL014","-27.4","10.4","9.8","-26.8","0.6"
"DE115","-22.8","10.1","10.7","-23.3","-0.6"
"CH052","15.6","8.7","10.0","14.4","-1.2"
"DEA2D","45.3","8.5","12.2","41.7","-3.7"
"DEA1B","13.1","8.8","13.3","8.7","-4.4"
"AT125","16.0","7.6","13.4","10.2","-5.8"
"EL413","3.1","7.3","13.5","-3.1","-6.2"
"DEB18","22.6","9.3","13.0","18.9","-3.7"
"HU323","-4.6","11.3","14.0","-7.3","-2.7"
"HU221","8.7","9.9","12.5","6.1","-2.6"
"PL427","-2.6","6.9","13.4","-9.1","-6.5"
"NL365","13.1","10.7","8.9","14.8","1.8"
"DEA1A","15.1","9.7","13.6","11.2","-3.9"
"DEG06","6.0","7.4","13.1","0.3","-5.7"
"BE352","8.0","9.6","10.1","7.5","-0.5"
"ES421","7.3","7.0","10.3","4.0","-3.3"
"FI1D2","3.9","7.3","13.6","-2.4","-6.3"
"DE149","8.2","9.1","11.3","5.9","-2.2"
"PL823","2.5","9.7","10.2","1.9","-0.6"
"DEE0B","6.7","6.6","15.7","-2.3","-9.0"
"RO321","3.4","11.2","13.5","1.2","-2.3"
"ITF11","3.5","6.1","13.6","-4.0","-7.4"
"BE257","9.3","9.5","10.5","8.3","-1.0"
"FI200","2.3","8.1","9.9","0.5","-1.8"
"DEF0A","13.2","7.3","14.3","6.2","-7.0"
"BE234","10.3","9.7","9.5","10.4","0.2"
"FRL01","9.5","8.2","12.5","5.2","-4.3"
"RS124","-96.7","8.2","20.0","-108.5","-11.8"
"LT011","40.2","9.3","12.5","36.9","-3.2"
"EL612","-1.7","7.3","13.7","-8.1","-6.3"
"DE22A","-15.8","8.9","12.8","-19.7","-3.9"
"ITH59","7.1","6.1","11.5","1.7","-5.4"
"DE24A","-7.8","7.2","14.7","-15.3","-7.5"
"CZ020","37.8","9.5","10.2","37.2","-0.6"
"DE923","19.7","8.5","16.5","11.7","-8.0"
"FR103","4.3","12.3","6.9","9.7","5.3"
"DED52","13.9","6.4","15.0","5.2","-8.6"
"ITC18","8.8","5.6","16.4","-1.9","-10.7"
"DEA47","15.6","9.7","10.7","14.6","-1.0"
"BG325","1.3","8.0","21.9","-12.6","-13.9"
"PL414","-0.5","8.3","11.8","-4.0","-3.5"
"SE122","3.3","9.5","10.3","2.5","-0.7"
"HR026","-8.5","8.6","16.9","-16.9","-8.4"
"ES513","17.5","7.3","10.2","14.5","-3.0"
"PL424","-0.9","8.3","13.9","-6.5","-5.6"
"EL651","-0.5","6.6","16.0","-9.9","-9.3"
"TRB14","6.6","9.9","7.9","8.6","2.0"
"CH040","7.6","9.8","7.7","9.7","2.1"
"DE274","-21.9","10.8","12.1","-23.2","-1.3"
"RO311","4.4","8.0","14.4","-2.1","-6.4"
"NO091","11.8","8.1","9.9","10.0","-1.8"
