"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"DE27","44875.4756960321","51.6898255924596","-5.9","9.8","11.5","-7.6","-1.7"
"SE31","41634.8984697737","22.3424681445278","2.7","8.8","11.2","0.3","-2.3"
"ITI2","28793.2050320676","110.501483444572","5.0","5.7","13.5","-2.8","-7.8"
"RS11","15219.1156540523","83.1548997457507","2.7","10.5","14.2","-0.9","-3.7"
"ITI4","39810.3232927644","99.6695994772945","5.9","6.3","11.2","1.0","-4.9"
"FRY3","18245.2441553218","19.7654499934115","-3.1","26.5","4.2","19.3","22.3"
"EL62","16623.0910141747","216.000705308425","-4.8","8.0","14.5","-11.3","-6.5"
"BG33","10260.2822483205","133.681310714804","5.1","8.6","18.2","-4.5","-9.7"
"SK03","17165.1058251323","69.614066574031","-1.5","9.3","11.3","-3.5","-2.0"
"PL72","12915.0586583917","117.089255616871","-1.7","7.2","13.9","-8.5","-6.7"
"CZ04","18800.6927219834","49.3943303256237","25.2","8.8","12.3","21.8","-3.5"
"ITH2","43867.1024367881","112.947770436892","6.4","7.4","10.0","3.8","-2.6"
"RO41","11700.9502557229","146.581999805306","2.9","7.9","15.1","-4.2","-7.1"
"ITC2","43799.5298313878","128.080415045396","4.2","6.3","12.4","-1.9","-6.1"
"ES24","32877.9107630756","68.8893456415631","14.6","6.7","11.5","9.8","-4.8"
"FRF1","35399.1114750232","39.0697452101895","5.0","9.6","9.6","5.1","0.0"
"LU00","118889.923566425","44.8251231412603","20.5","9.9","6.8","23.6","3.1"
"BE33","35468.3550655101","61.7335386936681","6.8","9.8","11.0","5.6","-1.2"
"DE11","62740.5660729631","43.9706679123256","-0.5","9.6","11.1","-2.0","-1.4"
"SE33","54477.5643960203","20.9821156076421","4.5","9.0","11.2","2.3","-2.2"
"LT01","35923.1004340119","58.2798459563543","40.2","9.3","12.5","36.9","-3.2"
"NL21","48020.0868667389","85.4673140428873","10.9","9.6","9.9","10.5","-0.4"
"ITH3","37946.8103210874","107.328252620548","5.3","6.5","11.4","0.4","-4.9"
"NL12","42310.0399223876","101.847194041763","10.4","8.8","10.8","8.4","-2.0"
"BG41","20740.5300966064","110.44339856329","5.4","9.3","15.6","-1.0","-6.3"
"SE22","44225.7208770292","30.1659704796197","6.8","10.1","9.4","7.5","0.7"
"ES70","22377.4243242959","60.3035584132386","15.4","5.6","8.5","12.5","-3.0"
"DE80","34847.1287767819","43.1552421857544","-12.9","6.8","15.9","-22.0","-9.1"
"FI20","48929.6071711047","75.4679673081993","2.3","8.1","9.9","0.5","-1.8"
"ES53","31329.2778778865","72.8701487646193","19.3","7.6","7.8","19.1","-0.2"
"DE92","44142.4577146687","42.1097383595854","-10.3","8.8","13.9","-15.4","-5.1"
"FRI1","34418.9145164301","61.2429186995327","10.5","9.1","11.1","8.5","-2.0"
"NL41","57119.5823630458","91.9365923681598","13.5","9.1","9.8","12.8","-0.7"
"DEG0","34147.7895908838","42.3640606336211","13.5","6.7","15.5","4.7","-8.8"
"DE94","43888.1661190102","46.7070730482179","5.4","9.3","12.6","2.1","-3.3"
"ITF6","19704.9994233217","95.5561280419779","0.3","7.3","12.4","-4.8","-5.1"
"DK01","93083.426305229","30.9323385875838","10.4","11.0","8.7","12.7","2.3"
"BE34","30569.5652173913","62.8396739130435","10.5","10.4","9.9","11.0","0.5"
"DEC0","41931.627081238","40.0876267880629","37.2","7.8","15.5","29.6","-7.6"
"AT13","57373.2302819486","58.6562490131203","25.2","9.8","9.2","25.8","0.6"
"EL52","16268.0816381216","139.902418328384","0.8","6.9","14.0","-6.3","-7.1"
"DE21","69436.9458283281","58.0346579780316","-4.8","10.0","10.3","-5.1","-0.3"
"PL84","13741.6707591898","141.455959096187","-1.1","8.4","12.4","-5.1","-4.0"
"PL21","15965.0577152042","98.5858916783751","1.0","9.4","10.8","-0.5","-1.5"
"NL23","43036.5410756467","92.6464736608467","17.5","11.6","6.5","22.6","5.1"
"ES51","33340.9346002455","64.9457398377503","19.7","7.2","9.0","17.9","-1.8"
"RO21","8770.49233751614","209.304974523564","3.8","11.0","14.0","0.8","-3.0"
