region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
Bird Cove,,,,,,,,,,,,
Bird's Point,,,,,,,,,,,,
Birdtail Creek 57,125,110,38400,16400,38400,16400,25,20400,95,46400,30,18000
Bishop's Cove,115,125,60000,52000,54800,48400,35,28800,75,81000,35,28800
Bishop's Falls,1420,1395,59600,55600,54400,51200,410,28600,975,75500,445,30800
Bittern Lake,,,,,,,,,,,,
Bjorkdale,,,,,,,,,,,,
Bjorkdale No. 426,440,375,64500,60800,60800,55600,140,30200,295,77000,145,32000
Black Diamond,1180,1105,75500,83000,66500,72000,350,35600,780,96000,400,39600
Black Point,,,,,,,,,,,,
Black River 9,150,175,29000,24000,29000,24000,20,,125,36000,20,19200
Black River-Matheson,1080,1050,75000,70000,66500,60800,310,32400,745,98000,335,35600
Black Sturgeon,,0,,0,,0,,,,,,
Blackfalds,3780,3300,103000,119000,89000,98000,680,60000,2885,115000,895,70000
Blacks Harbour,385,380,60000,54800,54400,51200,120,33200,245,76000,140,37200
Blackville,825,805,60400,58400,54400,53600,250,28200,560,74500,265,31000
Blackville,395,375,71500,68000,61600,60000,120,32000,265,94000,125,34000
Bladworth,,,,,,,,,,,,
Blaine Lake,250,235,50400,49200,46400,45600,105,29000,130,76000,120,32400
Blaine Lake No. 434,130,110,68000,77000,60800,68500,30,46400,95,72500,35,46800
Blainville,22425,20600,105000,99000,88000,82000,4855,48400,17155,125000,5265,50800
Blanc-Sablon,465,435,89000,88000,75500,75500,125,41200,330,109000,135,43200
Blandford-Blenheim,2780,2730,107000,98000,93000,84000,470,45200,2230,122000,550,48800
Blind Creek 6,,0,,0,,0,,,,,,
Blind River,1600,1585,66500,57600,60000,53200,520,31400,1025,93000,570,34000
Blissfield,225,210,53600,47200,48400,44800,60,24000,160,67500,65,24200
Blissville,335,345,67500,61600,60000,54000,85,35200,240,80000,95,36400
Blood 148,1170,1145,66500,44000,66000,43200,95,23000,1055,71500,110,25400
Blood 148A,,0,,0,,0,,,,,,
Bloodvein 12,195,170,44800,36400,44800,36400,55,22400,130,59200,60,22000
Blucher No. 343,750,765,104000,102000,90000,87000,130,42800,590,116000,155,48400
Blue Sea,355,315,63200,53600,55600,48400,135,28400,215,91000,145,29800
Blueberry River 205,,,,,,,,,,,,
Bluewater,3305,3025,85000,80000,74500,70000,970,45200,2265,107000,1030,46400
Boileau,200,165,54400,46800,50400,45200,75,34400,120,75500,80,36000
Bois-Franc,195,185,68500,54000,60400,48400,65,42400,120,91000,70,43200
Bois-des-Filion,4260,4020,83000,74500,71000,63200,1295,46000,2850,105000,1405,47600
Boisbriand,11425,10290,87000,81000,74500,69000,3255,45200,7875,108000,3550,47200
Boischatel,3050,2815,118000,107000,98000,87000,645,52000,2350,140000,695,54000
Boissevain-Morton,980,975,69000,67000,60400,58400,315,40000,650,88000,330,42000
Bolton-Est,555,440,70500,70500,62400,60800,180,44400,365,91000,195,47600
