"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"OLDHAM","3106","182117.5","12.524146812620733","31.101094655505474","43.689632968448166","5.022537025112685","4.024468770122344"
"HYNDBURN","1416","128000","12.288135593220339","23.516949152542374","56.355932203389834","1.271186440677966","2.9661016949152543"
"REDCAR AND CLEVELAND","2308","152525","19.584055459272097","42.287694974003465","29.636048526863085","3.5961871750433274","8.015597920277296"
"CITY OF DERBY","3966","200000","22.138174483106404","34.61926374180535","25.56732223903177","13.84266263237519","15.002521432173474"
"RIBBLE VALLEY","1258","265000","34.41971383147854","26.232114467408586","28.298887122416534","4.451510333863275","16.136724960254373"
"CHELMSFORD","2848","385750","26.790730337078653","25.948033707865168","19.698033707865168","23.174157303370787","11.235955056179776"
"RUNNYMEDE","1507","425000","21.8978102189781","24.220305242203054","14.465826144658262","34.97013934970139","18.181818181818183"
"GATESHEAD","3259","153750","14.022706351641608","31.91162933415158","32.55599877262964","16.078551702976373","7.947223074562749"
"BURNLEY","1962","110000","13.761467889908257","21.202854230377167","53.41488277268094","5.9123343527013255","7.2884811416921504"
"BRAINTREE","2663","340000","32.40705970709726","27.600450619601954","21.517085993240705","13.36838152459632","15.020653398422832"
"NEWHAM","2670","435000","0.41198501872659177","2.4719101123595504","37.940074906367045","54.00749063670412","16.06741573033708"
"ST ALBANS","2225","605000","22.292134831460675","23.46067415730337","23.235955056179776","26.337078651685392","5.213483146067416"
"ROCHDALE","3158","185500","17.701076630778974","31.855604813172896","37.935402153261556","4.939835338822039","6.36478784040532"
"HORSHAM","2404","435000","32.77870216306157","24.334442595673877","18.84359400998336","18.469217970049918","5.990016638935108"
"MALDON","1103","375000","43.51767905711695","29.82774252039891","14.324569356300998","6.43699002719855","14.14324569356301"
"ROTHERHAM","4270","180000","24.519906323185012","43.723653395784545","21.194379391100703","5.901639344262295","14.168618266978923"
"ROSSENDALE","1259","175000","16.679904686258936","22.1604447974583","49.80142970611597","4.527402700555997","5.242255758538523"
"BIRMINGHAM","12537","225000","9.013320571109515","30.677195501316103","33.90763340512084","20.98588178990189","7.05112865916886"
"BROMLEY","4909","482500","15.359543695253615","25.56528824607863","22.733754328783867","32.104298227744955","3.3000611122428194"
"NEWPORT","2512","222000","22.014331210191084","29.538216560509554","32.76273885350319","10.628980891719745","13.773885350318471"
