variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
one_parent_family_per1000 vs rented_private_landlord_per1000,county(n=31),corr=-0.045,electoral_division(n=3420),corr=0.155,magnitude_change,no,yes
one_parent_family_per1000 vs rented_local_authority_per1000,county(n=31),corr=0.75,electoral_division(n=3420),corr=0.743,similar,yes,yes
one_parent_family_per1000 vs no_central_heating_per1000,county(n=31),corr=0.023,electoral_division(n=3420),corr=-0.017,similar,no,no
one_parent_family_per1000 vs oil_heating_per1000,county(n=31),corr=-0.037,electoral_division(n=3420),corr=-0.26,magnitude_change,no,yes
one_parent_family_per1000 vs natural_gas_heating_per1000,county(n=31),corr=0.063,electoral_division(n=3420),corr=0.284,magnitude_change,no,yes
one_parent_family_per1000 vs private_water_source_per1000,county(n=31),corr=-0.131,electoral_division(n=3420),corr=-0.369,magnitude_change,no,yes
one_parent_family_per1000 vs septic_tank_per1000,county(n=31),corr=-0.136,electoral_division(n=3420),corr=-0.453,magnitude_change,no,yes
one_parent_family_per1000 vs at_work_per1000,county(n=31),corr=-0.244,electoral_division(n=3420),corr=-0.354,magnitude_change,no,yes
one_parent_family_per1000 vs unemployed_per1000,county(n=31),corr=0.72,electoral_division(n=3420),corr=0.547,similar,yes,yes
one_parent_family_per1000 vs retired_per1000,county(n=31),corr=-0.025,electoral_division(n=3420),corr=0.022,similar,no,no
one_parent_family_per1000 vs looking_after_home_family_per1000,county(n=31),corr=0.093,electoral_division(n=3420),corr=0.078,similar,no,yes
one_parent_family_per1000 vs unable_to_work_disability_per1000,county(n=31),corr=0.513,electoral_division(n=3420),corr=0.535,similar,yes,yes
one_parent_family_per1000 vs professional_workers_per1000,county(n=31),corr=-0.499,electoral_division(n=3420),corr=-0.398,similar,yes,yes
one_parent_family_per1000 vs unskilled_workers_per1000,county(n=31),corr=0.588,electoral_division(n=3420),corr=0.462,similar,yes,yes
one_parent_family_per1000 vs no_formal_education_per1000,county(n=31),corr=0.253,electoral_division(n=3420),corr=0.264,similar,no,yes
one_parent_family_per1000 vs upper_secondary_per1000,county(n=31),corr=0.163,electoral_division(n=3420),corr=0.217,magnitude_change,no,yes
one_parent_family_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.438,electoral_division(n=3420),corr=-0.374,similar,yes,yes
married_couple_with_children_per1000 vs cohabiting_couple_with_children_per1000,county(n=31),corr=0.343,electoral_division(n=3420),corr=-0.244,reversed,no,yes
married_couple_with_children_per1000 vs owned_outright_per1000,county(n=31),corr=0.48,electoral_division(n=3420),corr=0.432,similar,yes,yes
