variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
avg_unemployment_benefits vs unemployment_benefit_recipients_per1000,province(n=11),corr=0.973,kommune(n=98),corr=0.907,similar,yes,yes
avg_unemployment_benefits vs cash_benefit_recipients_per1000,province(n=11),corr=0.563,kommune(n=98),corr=0.464,similar,no,yes
avg_unemployment_benefits vs educational_grant_recipients_per1000,province(n=11),corr=0.955,kommune(n=98),corr=0.574,magnitude_change,yes,yes
avg_unemployment_benefits vs child_benefit_recipients_per1000,province(n=11),corr=-0.034,kommune(n=98),corr=0.058,magnitude_change,no,no
avg_unemployment_benefits vs disability_oldage_pension_recipients_per1000,province(n=11),corr=-0.791,kommune(n=98),corr=-0.423,magnitude_change,yes,yes
avg_unemployment_benefits vs public_servants_pension_recipients_per1000,province(n=11),corr=-0.781,kommune(n=98),corr=-0.344,magnitude_change,yes,yes
avg_unemployment_benefits vs private_pension_recipients_per1000,province(n=11),corr=-0.907,kommune(n=98),corr=-0.619,magnitude_change,yes,yes
avg_unemployment_benefits vs capital_income_recipients_per1000,province(n=11),corr=-0.258,kommune(n=98),corr=0.002,magnitude_change,no,no
avg_unemployment_benefits vs land_tax_homeowner_recipients_per1000,province(n=11),corr=-0.935,kommune(n=98),corr=-0.685,similar,yes,yes
avg_cash_benefits vs avg_educational_grants,province(n=11),corr=0.415,kommune(n=98),corr=0.315,similar,no,yes
avg_cash_benefits vs avg_child_benefits,province(n=11),corr=-0.194,kommune(n=98),corr=-0.185,similar,no,no
avg_cash_benefits vs avg_public_pension,province(n=11),corr=-0.137,kommune(n=98),corr=0.113,reversed,no,no
avg_cash_benefits vs avg_disability_oldage_pension,province(n=11),corr=-0.147,kommune(n=98),corr=0.118,reversed,no,no
avg_cash_benefits vs avg_private_pension,province(n=11),corr=-0.597,kommune(n=98),corr=-0.514,similar,no,yes
avg_cash_benefits vs avg_capital_income,province(n=11),corr=-0.373,kommune(n=98),corr=-0.333,similar,no,yes
avg_cash_benefits vs avg_interest_received,province(n=11),corr=-0.512,kommune(n=98),corr=-0.467,similar,no,yes
avg_cash_benefits vs avg_income_tax,province(n=11),corr=-0.39,kommune(n=98),corr=-0.449,similar,no,yes
avg_cash_benefits vs avg_taxable_income,province(n=11),corr=-0.374,kommune(n=98),corr=-0.475,similar,no,yes
avg_cash_benefits vs entrepreneurial_income_recipients_per1000,province(n=11),corr=-0.324,kommune(n=98),corr=-0.411,similar,no,yes
avg_cash_benefits vs unemployment_benefit_recipients_per1000,province(n=11),corr=0.569,kommune(n=98),corr=0.426,similar,no,yes
avg_cash_benefits vs cash_benefit_recipients_per1000,province(n=11),corr=0.994,kommune(n=98),corr=0.962,similar,yes,yes
avg_cash_benefits vs educational_grant_recipients_per1000,province(n=11),corr=0.368,kommune(n=98),corr=0.254,magnitude_change,no,yes
avg_cash_benefits vs child_benefit_recipients_per1000,province(n=11),corr=-0.232,kommune(n=98),corr=-0.278,similar,no,yes
avg_cash_benefits vs disability_oldage_pension_recipients_per1000,province(n=11),corr=-0.214,kommune(n=98),corr=-0.014,magnitude_change,no,no
avg_cash_benefits vs public_servants_pension_recipients_per1000,province(n=11),corr=-0.487,kommune(n=98),corr=-0.245,magnitude_change,no,yes
avg_cash_benefits vs private_pension_recipients_per1000,province(n=11),corr=-0.338,kommune(n=98),corr=-0.34,similar,no,yes
avg_cash_benefits vs capital_income_recipients_per1000,province(n=11),corr=-0.699,kommune(n=98),corr=-0.148,magnitude_change,yes,no
avg_cash_benefits vs land_tax_homeowner_recipients_per1000,province(n=11),corr=-0.406,kommune(n=98),corr=-0.551,magnitude_change,no,yes
avg_educational_grants vs avg_child_benefits,province(n=11),corr=-0.144,kommune(n=98),corr=0.044,magnitude_change,no,no
avg_educational_grants vs avg_public_pension,province(n=11),corr=-0.755,kommune(n=98),corr=-0.547,similar,yes,yes
avg_educational_grants vs avg_disability_oldage_pension,province(n=11),corr=-0.759,kommune(n=98),corr=-0.546,similar,yes,yes
avg_educational_grants vs avg_private_pension,province(n=11),corr=-0.726,kommune(n=98),corr=-0.264,magnitude_change,yes,yes
avg_educational_grants vs avg_capital_income,province(n=11),corr=-0.067,kommune(n=98),corr=0.014,magnitude_change,no,no
avg_educational_grants vs avg_interest_received,province(n=11),corr=-0.016,kommune(n=98),corr=0.022,magnitude_change,no,no
avg_educational_grants vs avg_income_tax,province(n=11),corr=0.046,kommune(n=98),corr=0.062,magnitude_change,no,no
avg_educational_grants vs avg_taxable_income,province(n=11),corr=0.146,kommune(n=98),corr=0.099,magnitude_change,no,no
avg_educational_grants vs entrepreneurial_income_recipients_per1000,province(n=11),corr=-0.6,kommune(n=98),corr=-0.464,similar,no,yes
avg_educational_grants vs unemployment_benefit_recipients_per1000,province(n=11),corr=0.947,kommune(n=98),corr=0.531,magnitude_change,yes,yes
avg_educational_grants vs cash_benefit_recipients_per1000,province(n=11),corr=0.479,kommune(n=98),corr=0.354,similar,no,yes
avg_educational_grants vs educational_grant_recipients_per1000,province(n=11),corr=0.992,kommune(n=98),corr=0.981,similar,yes,yes
avg_educational_grants vs child_benefit_recipients_per1000,province(n=11),corr=-0.005,kommune(n=98),corr=0.057,magnitude_change,no,no
avg_educational_grants vs disability_oldage_pension_recipients_per1000,province(n=11),corr=-0.819,kommune(n=98),corr=-0.6,similar,yes,yes
avg_educational_grants vs public_servants_pension_recipients_per1000,province(n=11),corr=-0.781,kommune(n=98),corr=-0.302,magnitude_change,yes,yes
avg_educational_grants vs private_pension_recipients_per1000,province(n=11),corr=-0.899,kommune(n=98),corr=-0.624,magnitude_change,yes,yes
