variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
0_4_per1000 vs widowed_per1000,canton(n=26),corr=-0.714,commune(n=2131),corr=-0.422,magnitude_change,yes,yes
0_4_per1000 vs divorced_per1000,canton(n=26),corr=-0.274,commune(n=2131),corr=-0.21,similar,no,yes
0_4_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=0.733,commune(n=2131),corr=0.659,similar,yes,yes
0_4_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=-0.71,commune(n=2131),corr=-0.478,magnitude_change,yes,yes
0_4_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=-0.489,commune(n=2131),corr=-0.174,magnitude_change,yes,yes
0_4_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=-0.887,commune(n=2130),corr=-0.46,magnitude_change,yes,yes
5_9_per1000 vs 10_14_per1000,canton(n=26),corr=0.829,commune(n=2131),corr=0.48,magnitude_change,yes,yes
5_9_per1000 vs 15_19_per1000,canton(n=26),corr=0.436,commune(n=2131),corr=0.143,magnitude_change,yes,yes
5_9_per1000 vs 20_29_per1000,canton(n=26),corr=0.288,commune(n=2131),corr=0.006,magnitude_change,no,no
5_9_per1000 vs 30_44_per1000,canton(n=26),corr=0.302,commune(n=2131),corr=0.4,magnitude_change,no,yes
5_9_per1000 vs 45_64_per1000,canton(n=26),corr=-0.445,commune(n=2131),corr=-0.415,similar,yes,yes
5_9_per1000 vs 65_74_per1000,canton(n=26),corr=-0.393,commune(n=2131),corr=-0.434,similar,yes,yes
5_9_per1000 vs 75_84_per1000,canton(n=26),corr=-0.682,commune(n=2131),corr=-0.458,magnitude_change,yes,yes
5_9_per1000 vs 85plus_per1000,canton(n=26),corr=-0.633,commune(n=2131),corr=-0.397,magnitude_change,yes,yes
5_9_per1000 vs male_per1000,canton(n=26),corr=0.155,commune(n=2131),corr=-0.095,reversed,no,yes
5_9_per1000 vs female_per1000,canton(n=26),corr=-0.155,commune(n=2131),corr=0.095,reversed,no,yes
