geo_name,avg_net_income_per_person,avg_household_net_income,avg_income_per_consumption_unit,median_income_per_consumption_unit,avg_gross_income_per_person,avg_household_income
Felix,13057.0,25627.0,17382.0,16450.0,15515.0,30450.0
Fines,11169.0,28207.0,16691.0,15050.0,13047.0,32952.0
Fiñana,11102.0,24079.0,15609.0,14350.0,12477.0,27061.0
Fondón,12319.0,24506.0,16693.0,15050.0,14258.0,28363.0
Gádor,10480.0,23934.0,14891.0,13650.0,12006.0,27419.0
"Gallardos, Los",11132.0,27556.0,16498.0,15050.0,12841.0,31787.0
Garrucha,10372.0,28218.0,15593.0,13650.0,12112.0,32952.0
Gérgal,10090.0,23646.0,14397.0,12250.0,11446.0,26823.0
Huécija,11598.0,23106.0,15738.0,15050.0,13437.0,26770.0
Huércal de Almería,12366.0,35212.0,19151.0,17850.0,14786.0,42103.0
Huércal-Overa,11840.0,33044.0,18054.0,15750.0,14012.0,39106.0
Íllar,11499.0,23416.0,15823.0,14350.0,13065.0,26605.0
Instinción,10053.0,20148.0,13957.0,13650.0,11267.0,22580.0
Laroya,12288.0,25077.0,16653.0,15050.0,13887.0,28341.0
Laujar de Andarax,10145.0,21010.0,14056.0,12250.0,11501.0,23818.0
Líjar,11829.0,26066.0,16775.0,16450.0,13273.0,29246.0
Lubrín,11496.0,23605.0,15763.0,15050.0,12856.0,26398.0
Lucainena de las Torres,10308.0,25174.0,15160.0,13650.0,11847.0,28933.0
Lúcar,12203.0,24786.0,17038.0,15750.0,14112.0,28663.0
Macael,12157.0,30023.0,18211.0,15750.0,14637.0,36149.0
María,12015.0,26141.0,16729.0,15050.0,13804.0,30034.0
Mojácar,12603.0,29054.0,18064.0,15750.0,15227.0,35102.0
Nacimiento,10959.0,22378.0,14758.0,13650.0,12302.0,25120.0
Níjar,8989.0,27125.0,13952.0,12250.0,10227.0,30860.0
Ohanes,12231.0,18959.0,14996.0,12950.0,13786.0,21368.0
Olula de Castro,15639.0,32566.0,21745.0,19950.0,18428.0,38374.0
Olula del Río,11667.0,30201.0,17406.0,15750.0,13755.0,35606.0
Oria,11369.0,24381.0,15918.0,14350.0,12858.0,27575.0
Padules,13432.0,25178.0,17739.0,15750.0,15507.0,29067.0
Partaloa,11350.0,24168.0,15564.0,14350.0,12947.0,27570.0
Paterna del Río,11815.0,20217.0,15284.0,13650.0,13285.0,22732.0
Pechina,10433.0,28888.0,15892.0,14350.0,12087.0,33469.0
Pulpí,11322.0,35449.0,17753.0,16450.0,13355.0,41815.0
Purchena,11877.0,25870.0,16787.0,15750.0,13779.0,30012.0
Rágol,10855.0,20259.0,16732.0,15050.0,13091.0,24431.0
Rioja,9985.0,26355.0,14887.0,13650.0,11418.0,30137.0
