DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH33,2024,36.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH33,2025,36.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH34,2024,31.1,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH34,2025,31.9,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH35,2024,33.9,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH35,2025,34.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH36,2024,31.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH36,2025,32.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH37,2024,36.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH37,2025,37.1,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH4,2024,34.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH4,2025,35.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH41,2024,32.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH41,2025,32.9,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH42,2024,35.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH42,2025,36.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH43,2024,34.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH43,2025,35.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH44,2024,36.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH44,2025,36.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH5,2024,31.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH5,2025,32.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH51,2024,32.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH51,2025,33.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH52,2024,30.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH52,2025,30.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH53,2024,29.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH53,2025,30.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH54,2024,30.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH54,2025,31.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH55,2024,31.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH55,2025,32.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH56,2024,36.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH56,2025,37.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH57,2024,33.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH57,2025,34.1,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH58,2024,32.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH58,2025,32.9,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH59,2024,31.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITH59,2025,32.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITI,2024,32.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITI,2025,33.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITI1,2024,33.8,,
