region_name,num_persons_fiscal_households,num_households,median_living_standard_eur,d1_living_standard_eur,d9_living_standard_eur,interdecile_ratio_d9_d1,poverty_rate_pct_60med,share_taxed_households_pct,share_activity_income_pct,share_wages_pct,share_pensions_pct,share_social_benefits_pct,share_direct_taxes_pct
Saint-Bénigne,1362,554,23070,,,,,,,,,,
Groslée-Saint-Benoit,1198,513,23430,,,,,,,,,,
Saint-Bernard,1563,603,32220,,,,,,,,,,
Sainte-Croix,520,194,30350,,,,,,,,,,
Saint-Cyr-sur-Menthon,1876,737,24170,,,,,,,,,,
Saint-Denis-lès-Bourg,6007,2613,25580,14740,40480,2.7,8,63,66.1,60.3,36.9,3.8,-16.1
Saint-Denis-en-Bugey,2227,981,23670,13930,37920,2.7,10,55,72.6,67.5,30.6,3.9,-14.9
Saint-Didier-d'Aussiat,853,347,24190,,,,,,,,,,
Saint-Didier-de-Formans,2190,826,28190,16940,49820,2.9,,66,81.1,73.2,23,2.6,-19
Saint-Didier-sur-Chalaronne,2834,1226,23560,14690,36800,2.5,8,51,73.8,66.4,28.4,4.2,-14.2
Saint-Éloi,567,213,26490,,,,,,,,,,
Saint-Étienne-du-Bois,2550,1125,24380,14520,37090,2.6,,55,71.8,64.6,31.6,4.3,-14.7
Saint-Étienne-sur-Chalaronne,1687,643,23960,,,,,,,,,,
Saint-Étienne-sur-Reyssouze,523,227,23260,,,,,,,,,,
Sainte-Euphémie,1656,614,27990,,,,,,,,,,
Saint-Genis-Pouilly,11174,4661,30790,9060,77880,8.6,18,40,91.9,87.1,17,2.2,-15.7
Saint-Genis-sur-Menthon,508,209,24660,,,,,,,,,,
Saint-Georges-sur-Renon,217,84,25660,,,,,,,,,,
Saint-Germain-de-Joux,467,197,21610,,,,,,,,,,
Saint-Germain-les-Paroisses,425,177,23210,,,,,,,,,,
Saint-Germain-sur-Renon,257,99,25790,,,,,,,,,,
Saint-Jean-de-Gonville,1798,720,42220,,,,,,,,,,
Saint-Jean-de-Niost,1881,739,28140,,,,,,,,,,
Saint-Jean-de-Thurigneux,853,299,28910,,,,,,,,,,
Saint-Jean-le-Vieux,1792,797,24660,,,,,,,,,,
Saint-Jean-sur-Reyssouze,735,333,22170,,,,,,,,,,
Saint-Jean-sur-Veyle,1149,475,24530,,,,,,,,,,
Sainte-Julie,1083,415,24930,,,,,,,,,,
Saint-Julien-sur-Reyssouze,642,315,22270,,,,,,,,,,
Saint-Julien-sur-Veyle,877,327,23300,,,,,,,,,,
Saint-Just,936,385,27390,,,,,,,,,,
Saint-Laurent-sur-Saône,1637,957,19550,,,,,,,,,,
Saint-Marcel,1191,474,25130,,,,,,,,,,
Saint-Martin-de-Bavel,411,175,25590,,,,,,,,,,
Saint-Martin-du-Frêne,1033,442,25030,,,,,,,,,,
Saint-Martin-du-Mont,1939,806,25490,,,,,,,,,,
Saint-Martin-le-Châtel,841,328,25350,,,,,,,,,,
Saint-Maurice-de-Beynost,3838,1633,23570,13370,38920,2.9,11,58,78.7,72.8,25.3,4.9,-15.4
Saint-Maurice-de-Gourdans,2840,1093,28170,17440,43040,2.5,,68,83.5,75.9,21.3,2.5,-16.9
Saint-Maurice-de-Rémens,764,308,24110,,,,,,,,,,
Saint-Nizier-le-Bouchoux,573,273,22400,,,,,,,,,,
Saint-Nizier-le-Désert,837,328,24340,,,,,,,,,,
Sainte-Olive,304,118,25280,,,,,,,,,,
Saint-Paul-de-Varax,1442,600,23200,,,,,,,,,,
Saint-Rambert-en-Bugey,2045,974,20170,11210,32100,2.9,21,43,70.7,63.2,27.9,7.9,-12
Saint-Rémy,943,407,27430,,,,,,,,,,
Saint-Sorlin-en-Bugey,1127,491,26690,,,,,,,,,,
Saint-Sulpice,254,90,23240,,,,,,,,,,
Saint-Trivier-de-Courtes,968,470,21030,,,,,,,,,,
Saint-Trivier-sur-Moignans,1713,765,23920,,,,,,,,,,
Saint-Vulbas,1141,476,24750,,,,,,,,,,
Salavre,307,146,22940,,,,,,,,,,
Samognat,654,263,27660,,,,,,,,,,
Sandrans,568,219,25970,,,,,,,,,,
Sault-Brénaz,946,436,21130,,,,,,,,,,
Sauverny,921,376,41070,,,,,,,,,,
Savigneux,1476,560,26370,,,,,,,,,,
Ségny,2109,850,42330,15350,87020,5.7,,57,93.2,88.2,17.9,0.7,-18
Seillonnaz,126,60,22970,,,,,,,,,,
Sergy,1959,765,42940,,,,,51,,,,,
Sermoyer,681,305,22230,,,,,,,,,,
Serrières-de-Briord,1303,570,22690,,,,,,,,,,
Serrières-sur-Ain,126,68,23640,,,,,,,,,,
Servas,1236,509,22670,,,,,,,,,,
Servignat,169,76,23480,,,,,,,,,,
Seyssel,918,434,23780,,,,,,,,,,
Simandre-sur-Suran,657,280,23210,,,,,,,,,,
Sonthonnax-la-Montagne,318,131,27530,,,,,,,,,,
Souclin,267,121,24340,,,,,,,,,,
Sulignat,577,234,24630,,,,,,,,,,
Talissieu,424,198,23340,,,,,,,,,,
Tenay,890,433,20410,,,,,,,,,,
Thil,1139,411,30620,,,,,,,,,,
Thoiry,5576,2303,38950,11840,87880,7.4,12,51,87.4,82.8,19.8,1,-16.7
Thoissey,1442,788,20430,,,,,,,,,,
Torcieu,709,318,22620,,,,,,,,,,
Tossiat,1342,566,26180,,,,,,,,,,
Toussieux,1247,435,27870,,,,,,,,,,
Tramoyes,1748,658,31610,,,,,,,,,,
La Tranclière,290,123,25050,,,,,,,,,,
Val-Revermont,2484,1058,24280,14810,38110,2.6,,58,72.9,65.9,28,3.9,-15.7
Trévoux,6780,2941,23920,13330,39650,3,11,56,81,73.2,23.1,5.1,-16
Valeins,122,44,23780,,,,,,,,,,
Vandeins,729,288,24170,,,,,,,,,,
Varambon,596,263,23800,,,,,,,,,,
Vaux-en-Bugey,1209,532,25240,,,,,,,,,,
Verjon,347,150,23640,,,,,,,,,,
Vernoux,260,100,20450,,,,,,,,,,
Versailleux,503,176,25730,,,,,,,,,,
