"geo","n_transactions","median_price_per_sqm","median_valeur_fonciere","median_surface_bati","median_pieces","appartement_share_pct"
"71475","50","2046.5745192307693","172000","91","4","18"
"69081","60","4271.595318755774","341100","85","4","76.66666666666667"
"42283","6","2514.7988505747126","192000","97","3","0"
"85158","8","1449.251008258114","181250","113.5","5","0"
"45002","4","751.3597513597514","79000","108","4","0"
"29079","16","1576.7045454545455","161000","108.5","5","0"
"51482","3","2082.35294117647","177000","97","4","33.333333333333336"
"62461","7","1142.85714285714","120000","92","4","0"
"69236","3","1250","85000","75","3","33.333333333333336"
"47320","3","1500","160000","103","4","0"
"55236","5","607.142857142857","85000","80","4","0"
"24514","3","1130","113000","100","4","0"
"97404","35","4016.12903225806","347300","80","4","8.571428571428571"
"49219","4","1908.7301587301586","170500","94","3.5","0"
"79061","27","1323.80952380952","120000","88","4","0"
"27174","12","2003.5216346153848","166850","80.5","4","8.333333333333334"
"62702","3","836.115107913669","116220","139","4","0"
"28325","8","1819.7252374491181","210000","122","4.5","0"
"86082","35","1066.17647058824","80000","87","4","0"
"35161","15","1884.08045977011","163915","89","4","0"
"59264","6","1797.4056603773583","121250","84","3","0"
"80035","3","1356.58914728682","175000","99","5","0"
"27633","6","1763.537009438649","105000","57.5","3","33.333333333333336"
"45115","36","1523.2142857142858","134000","83","4","8.333333333333334"
"28370","5","1983.78378378378","127200","74","3","0"
"17314","6","1689.6134239592184","114900","83.5","4.5","0"
"10261","10","769.3396226415094","53000","91.5","4","0"
"83107","249","4963.85542168675","320000","75","3","40.963855421686745"
"59462","40","2577.542511445389","215000","92.5","4","30"
"18188","3","789.473684210526","30000","50","3","0"
"84135","11","3396.11111111111","307775","80","4","9.090909090909092"
"27613","4","1741.6666666666667","134000","80.5","3","0"
"64425","4","1384.9117399831885","118000","88","4.5","0"
"02748","4","1593.75","151350","106.5","3","0"
"31478","7","1769.23076923077","137501.02","80","4","0"
"03131","5","1496.15384615385","123500","78","3","0"
"88159","6","1900.4688445251059","172500","97","4.5","0"
"80524","4","1468.5455944594073","145000","86","4","0"
"76609","3","2720.93023255814","267810.28","95","4","0"
"60501","15","2275.36231884058","158500","76","4","0"
"28373","34","1427.0152505446622","109400","79","4","8.823529411764707"
"73057","22","4127.446428571428","119975","28","1","90.9090909090909"
"38448","9","3194.47368421053","364170","108","4","22.22222222222222"
"63454","5","1093.61904761905","86000","60","3","40"
"46006","5","1700","170000","100","4","0"
"21407","4","2753.442028985507","235350","73","4","0"
"37212","6","1748.2036863480162","149700","95","4","0"
"29086","6","1472.5541125541126","112000","78.5","3.5","0"
"66079","6","1368.2142857142858","85250","71","3","16.666666666666668"
"38341","6","1926.111111111111","181500","95","4","0"
"58033","5","1179.48717948718","71000","64","2","0"
"02469","4","681.4903846153846","72500","83.5","3.5","0"
"29148","8","1680.614406779661","152500","102.5","5","0"
"69208","12","3489.140987758548","340550","109","4.5","0"
"24053","68","1890.1074151074151","174000","90","4","10.294117647058824"
"85133","8","1466.5401044138584","149000","103","4.5","0"
"72262","20","1096.5988556897648","105722.5","67","3","0"
"44032","12","2802.308802308802","262750","93","4","16.666666666666668"
"89430","5","1237.5","70000","58","2","0"
"10358","5","1500","145000","97","4","0"
"77397","11","2437.71929824561","225000","88","4","9.090909090909092"
"45344","6","1784.090909090909","160750","90.5","4","0"
"49247","11","2253.88601036269","231000","87","5","9.090909090909092"
"55458","3","1301.19565217391","205850","107","6","0"
"77255","9","2281.25","219000","75","4","22.22222222222222"
"51358","3","1142.85714285714","80000","70","4","0"
"27275","47","1857.14285714286","103000","60","3","61.702127659574465"
"2B229","3","2285.84905660377","120000","48","2","33.333333333333336"
"01426","18","2197.176684881603","200000","99","4","0"
"29008","5","2056.45161290323","224950","120","5","0"
"73164","9","3525.9380952381","403500","94","3","22.22222222222222"
"36029","4","836.5808344198175","72650","80.5","4","0"
"61327","7","1162.79069767442","100000","85","4","0"
"14014","6","3159.2162686386228","353450","102.5","4","0"
"56017","19","2094.59459459459","180000","86","4","5.2631578947368425"
"62839","6","1426.5614261168384","155775","105.5","4.5","0"
"62229","5","2035.3982300885","230000","104","4","0"
"89367","3","877.551020408163","86000","98","3","0"
"09273","6","1721.9866747425804","180000","98.5","4","0"
"42064","3","403.225806451613","25000","62","1","66.66666666666667"
"52171","4","508.33333333333337","50000","100","3.5","0"
"56237","11","2000","175000","93","5","0"
