geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DEG0A,27317.72,733.0,525.0,207.0,53.3,1012.0,120.0,303.0,90.0
DEG0C,33074.91,663.0,453.0,211.0,50.4,1019.0,127.0,272.0,85.0
DEG0D,30145.52,684.0,466.0,219.0,50.9,1004.0,130.0,276.0,75.0
DEG0E,25126.03,680.0,473.0,207.0,51.8,996.0,123.0,281.0,79.0
DEG0G,31833.55,690.0,452.0,239.0,49.9,1020.0,141.0,267.0,73.0
DEG0J,28364.14,706.0,489.0,217.0,51.5,1016.0,127.0,287.0,88.0
DEG0K,35617.87,723.0,510.0,213.0,52.9,1016.0,123.0,296.0,87.0
DEG0L,26499.55,792.0,580.0,212.0,55.1,1023.0,118.0,324.0,104.0
DEG0M,25357.43,783.0,576.0,207.0,54.6,1062.0,116.0,323.0,108.0
DEG0Q,31286.75,702.0,498.0,204.0,52.2,1005.0,120.0,293.0,89.0
DEG0R,36511.64,697.0,482.0,215.0,51.4,1014.0,126.0,284.0,87.0
DEG0S,35100.13,815.0,627.0,188.0,56.1,1057.0,104.0,346.0,111.0
DEG0T,35352.34,662.0,458.0,204.0,49.8,980.0,123.0,276.0,88.0
DEG0U,31627.53,758.0,551.0,207.0,54.1,1035.0,118.0,313.0,103.0
DEG0V,28277.82,706.0,516.0,190.0,53.3,1028.0,111.0,303.0,94.0
