geo_code,geo_name,immigrants_per1000,all_dwellings_per1000,freetime_residences_per1000,pct_aged_64plus,pct_aged_under15,pct_foreign_citizens,avg_age,dependency_ratio,births_per1000,deaths_per1000,urbanisation_pct,pct_one_person_households,pct_owner_occupied,pct_rental,pct_upper_secondary_plus,pct_tertiary,pct_no_post_basic_qual,pct_employed_of_pop,pct_unemployed_of_pop,unemployment_rate,employment_rate_20_64,pct_jobs_services,pct_jobs_secondary,pct_jobs_primary,pct_self_employed,workplace_self_sufficiency,pct_dwellings_not_permanent_use,floor_area_per_person
KU743,Seinäjoki,11.970979443772674,562.0767835550181,12.787182587666264,20.9,16.5,3.3,41.4,59.8,9.2,9.7,92,46.5,62.2,37.2,79.1,34.4,20.9,45.5,4.2,8.4,77.5,74.6,22,2.4,8.6,111.6,10.4,42.8
KU746,Sievi,10.184595798854232,452.3657967324422,63.441544663696156,20.5,22.8,3,39.9,76.4,9.5,11.6,54.2,35.8,77.6,21,67.8,18,32.2,36.9,4.8,11.6,74.4,50.1,34.8,14.3,16.9,115.9,14.4,41.4
KU747,Siikainen,0.0,706.9368667186282,758.3787996882307,40.6,10.7,1.2,54.2,105.3,3.1,14.7,29.8,45.6,81.5,15.7,65.8,17,34.2,34,4.5,11.7,72.7,47.7,32.8,17.4,23.4,79.8,26.2,51.5
KU748,Siikajoki,9.096547446764523,554.4759148232375,161.0502377506719,27.1,20.1,1.3,44.1,89.6,10.3,8.8,46.9,39.3,82.5,16.1,71.5,19.6,28.5,36.2,4.5,11.1,74.4,55.6,26.9,16.4,20.4,92.5,21.3,44.8
KU791,Siikalatva,4.258771040356926,661.3263029811397,168.72845264652202,32.7,14.2,1.5,49.2,88.6,8.2,19.1,47.2,45.1,78.6,18.1,70.2,16.8,29.8,36.1,5.3,12.7,71.9,57,19.5,22.1,24.4,91.5,24.9,48.2
KU749,Siilinjärvi,8.407703147017378,493.00140911225924,43.35368717707844,22.8,18.6,1.6,43.2,70.5,7.6,8.5,81.1,36.6,76.3,20.3,79.1,33.8,20.9,42.8,4.2,8.9,79,75,21,3,9,78.5,7.7,43.2
KU751,Simo,1.4144271570014144,602.5459688826026,371.64073550212163,36.3,12.4,0.7,51.2,95,4.9,13.3,54.1,38.1,85.5,12.6,72.5,23.5,27.5,34.7,4.8,12.1,72.4,64.3,30.1,4.1,13.5,58.8,18.7,50.6
KU753,Sipoo,9.47112192963045,495.9061739322859,96.39300730250055,18.5,17.1,5.1,42.4,55.4,7.7,8,85.3,35.8,72.2,23.2,75.2,37.4,24.8,49.3,3.7,7,82.1,77.9,19.8,1.3,13.9,62.2,10.1,45.5
KU755,Siuntio,6.820396232543033,502.27346541084773,130.39948035076324,21.4,16,6.1,44.4,59.7,6.1,8.6,51.6,31.3,83.6,14.7,73.6,37.5,26.4,47.9,3.7,7.1,81.4,75.5,20.7,2.5,14.1,43.6,13.1,51.4
KU758,Sodankylä,5.168594634506523,617.8931823775536,297.07112970711296,29.6,12.8,2.3,48.4,73.8,5.9,16,61.2,44.5,68.2,29.6,76.2,26.3,23.8,44,3.3,6.9,79.1,68.6,24.5,6.3,11.1,106.8,18.8,45
KU759,Soini,0.0,642.8190069407368,292.57875066737853,33.7,15.6,1.1,49.2,97.2,5.8,16.3,49.7,40.3,79,18.4,65.9,19.7,34.1,35.2,4.3,10.9,72.6,58.6,23.9,16.1,24.4,98,26.2,46.8
KU761,Somero,20.33293697978597,617.0035671819263,239.0011890606421,34.3,12.5,4.6,50.3,88.1,5.9,18.3,58.6,45.6,78.9,19,66.9,22.1,33.1,37.8,3.8,9.2,75.1,62.1,25.9,10.5,21.5,85.1,17.5,50.4
KU762,Sonkajärvi,6.323893318669233,646.1369260379433,239.75804234259004,37.7,11.3,1,52.4,96,4.7,18.6,44,44.9,73.1,24.3,70,17.9,30,34.2,5,12.8,69.9,59.4,22.5,17.1,18.3,84.8,18.8,48.6
KU765,Sotkamo,8.273311271169945,580.2024527934592,197.78080591785087,28.5,14.6,3.7,46.9,75.7,5,16,60.8,42.1,73.3,25.1,75.6,28.5,24.4,42.6,3,6.5,79.3,73.1,19.5,6.4,12.1,108,15.8,46.3
KU766,Sottunga,26.08695652173913,678.2608695652174,1034.7826086956522,32.2,18.3,30.4,49.1,101.8,8.8,8.8,0,54.1,68.9,21.3,75.5,38.3,24.5,39.1,0,0,75,75.6,4.4,15.6,17.8,57.8,21.8,51
KU768,Sulkava,10.97972972972973,709.4594594594595,900.3378378378378,42.7,9,3.5,55.1,107,5.1,19.8,42,46.4,76.9,20.7,67.4,22.6,32.6,32.7,4,10.8,69.9,64.6,18,15.5,24.4,87,24.9,51.8
KU771,Sund,8.040201005025127,592.964824120603,422.1105527638191,27.8,14.2,9.1,47,72.4,6,13,0,40.7,81.7,13.8,68.1,23.8,31.9,46,1.6,3.4,83.8,66.8,22.5,7.4,13.5,43.4,17.6,50.3
KU777,Suomussalmi,3.3463469046291134,673.1734523145566,302.4261015058561,41.6,9.5,2.1,54.9,104.2,3.7,19.8,63.2,46.9,73.6,24,72.4,19.1,27.6,32.2,5.4,14.2,68.1,66.7,22.8,9.6,11.6,88.9,19.7,48.6
KU778,Suonenjoki,13.714967203339297,634.3172331544424,140.13118664281455,33.8,12.9,3.1,50,87.8,5.5,18.3,71.8,48.4,70.2,28.7,72.3,22.5,27.7,36.4,4.4,10.8,72,66.1,25.7,7.1,12.9,93.5,15.8,46.3
KU781,Sysmä,7.437070938215103,742.8489702517163,1059.4965675057208,46.1,7.8,2.2,57.5,116.9,3.4,21.7,52.8,51.8,78.7,20,64.6,21.6,35.4,32,4.2,11.6,71.3,60.9,18.6,18.1,27.5,84.1,22.8,51.5
KU783,Säkylä,13.48596518739219,631.017719931002,173.12215775443,33.1,12.5,4.4,50.1,83.9,5,16.7,73.4,44.5,81.1,17.1,70.4,24.8,29.6,40.6,3,6.8,78.4,56.4,34.9,7.9,14.9,120.5,18,53.8
KU831,Taipalsaari,21.837837837837835,514.3783783783784,730.1621621621621,28.8,14.7,4.3,47.6,76.9,5,11.5,59.1,32.6,87.3,11,77.5,36.2,22.5,40.2,4.4,9.8,76.5,71.9,23.1,3.7,13.9,40.1,12,49.6
KU832,Taivalkoski,4.02036987402841,571.9646207451086,338.2471187349236,33.7,14.1,1.7,49.4,91.3,5.8,19.6,47,43.3,74.2,23.5,71.3,18.4,28.7,33.9,5.8,14.6,68,67.8,18,13.2,12.4,91.2,16.4,45.7
KU833,Taivassalo,14.07624633431085,600.5865102639297,1163.6363636363635,36,12.8,5.9,51.4,95.1,4.7,12.4,38.9,40.8,81.4,16.6,67.2,23,32.8,36.6,4.2,10.3,74.1,60.4,27.6,10.3,23.7,74.2,18.2,51.7
KU834,Tammela,7.3579739904175225,560.0616016427105,569.8151950718686,29.6,13.5,2.4,48.3,75.8,5.6,13.8,52.9,37.9,82.2,16.3,73.6,29.2,26.4,41.8,4,8.7,77.1,62.9,28.2,7.5,16.3,71.2,15.4,50.8
KU837,Tampere,14.969613801215448,613.4561850617525,14.734365810625368,18.9,12.6,6.8,41,46.1,8.2,9.2,98.6,54.7,44.8,52.2,80.1,39.6,19.9,45.7,6.3,12.1,69.7,81.7,16.7,0.3,7.6,118.6,7.9,37
KU844,Tervo,2.8328611898017,694.0509915014164,651.5580736543909,43.3,8.9,1.7,55.9,109.2,2.1,22.4,36,48.4,79.4,18.4,70.4,20.4,29.6,33.4,5.2,13.4,69.1,67.2,18.2,13.3,19.3,72.2,20.7,54.3
KU845,Tervola,2.82585658777817,649.9470151889791,166.0190745319675,31.8,15.2,2.3,48.4,88.7,9.5,17.9,35.4,48.1,75.1,22.3,73.7,21.5,26.3,38.1,4.4,10.3,75.7,61.1,27.5,10.6,14.8,93.4,22.4,47.3
KU846,Teuva,2.73224043715847,612.2320302648171,32.576712904581754,35.1,13.5,2.3,50.2,94.8,4.8,22.2,66.5,41.8,81.4,16.5,69.5,18,30.5,36.5,4.3,10.5,75.2,52.8,33.3,13,16.3,87.3,20.6,50.2
KU848,Tohmajärvi,6.886374815543531,677.816035415642,211.7560255779636,36.3,12.7,3,51.6,96,6.1,19.5,35.4,44.7,78.2,19.9,69.9,19.4,30.1,33.5,7.1,17.6,68.4,67.9,17.3,13.7,19.7,86,24.2,48.8
KU849,Toholampi,3.159003159003159,585.8195858195858,48.789048789048785,30.2,17.1,2,46.8,89.6,7.6,16.7,52.5,38.7,80.1,17.9,68.3,20,31.7,37.1,3.2,7.9,76.4,53.6,26.4,18.7,22.5,92,22.5,49.1
KU850,Toivakka,2.5337837837837838,540.5405405405405,373.7331081081081,29.9,17.5,1.5,46.9,90,6.7,14.7,43.2,40.9,84.1,14.6,73.4,27,26.6,38.3,3.7,8.8,77.7,65.5,28.7,4.7,14.6,60.4,14.4,46.5
KU851,Tornio,6.7561138072128655,564.8015986297459,61.13807212865163,26,16,3.2,44.6,72.4,7.7,12.1,87.6,43.5,68.8,29.7,76,27.2,24,41.3,4.2,9.2,76.2,61.5,33.2,2,9.7,102.1,13.6,45.6
KU853,Turku,18.93363320667978,633.4345571006078,12.582791299049356,20.5,12.2,9.4,41.9,48.6,7.5,10.5,99.1,56.3,44.6,52.7,77.3,36.4,22.7,44.7,6.1,12.1,69.2,81.3,16.9,0.4,7.9,121.3,10.3,38.4
KU857,Tuusniemi,3.8910505836575875,702.1184608733246,535.6679636835279,41.1,9.4,2.1,54.7,102,1.7,25.9,39.3,50.6,79.1,18.9,70.7,20.8,29.3,31,5,13.8,64,63.1,20.1,15.3,20.3,80.6,20.7,49.6
KU858,Tuusula,8.321641105036527,491.8718854322899,10.547196284290484,18.7,17.3,5.8,42.1,56.3,7.8,8,95.4,36.5,69.9,24.7,74.3,34.3,25.7,48.4,4.1,7.9,81.2,76.6,21.7,0.7,10.5,71.2,8.3,42.7
