area_code,area_name,births_2024,births_2015,births_growth_2015_2024_pct,taxable_income_2024_thousand_yen,taxable_income_2015_thousand_yen,taxable_income_growth_2015_2024_pct
23362,扶桑町,238.0,301.0,-20.930232558139537,61566841.0,50184907.0,22.679994206226187
23424,大治町,222.0,335.0,-33.731343283582085,54598881.0,42422963.0,28.701243710864798
23425,蟹江町,226.0,329.0,-31.30699088145897,66197504.0,57165458.0,15.799831429672093
23427,飛島村,16.0,49.0,-67.3469387755102,8431208.0,7350305.0,14.705553034874065
23441,阿久比町,144.0,301.0,-52.159468438538205,47583244.0,42333644.0,12.400538918879745
23442,東浦町,342.0,377.0,-9.283819628647215,91729844.0,80803793.0,13.521705596171705
23445,南知多町,42.0,95.0,-55.78947368421052,21462416.0,22691087.0,-5.41477365099345
23446,美浜町,50.0,128.0,-60.9375,32440192.0,31468117.0,3.089079019249865
23447,武豊町,286.0,375.0,-23.733333333333334,72391537.0,61004792.0,18.66532878269628
23501,幸田町,268.0,407.0,-34.15233415233415,77706131.0,63244758.0,22.865725883558603
