county_name,state_fips,county_fips,median_home_value_usd
"Lower Connecticut River Valley Planning Region, Connecticut",09,130,341300
"Naugatuck Valley Planning Region, Connecticut",09,140,273500
"Northeastern Connecticut Planning Region, Connecticut",09,150,268500
"Northwest Hills Planning Region, Connecticut",09,160,296800
"South Central Connecticut Planning Region, Connecticut",09,170,309600
"Southeastern Connecticut Planning Region, Connecticut",09,180,275900
"Western Connecticut Planning Region, Connecticut",09,190,595600
"Kent County, Delaware",10,001,272300
"New Castle County, Delaware",10,003,312000
"Sussex County, Delaware",10,005,324400
"District of Columbia, District of Columbia",11,001,705000
"Alachua County, Florida",12,001,245600
"Baker County, Florida",12,003,198900
"Bay County, Florida",12,005,246800
"Bradford County, Florida",12,007,153900
"Brevard County, Florida",12,009,278000
"Broward County, Florida",12,011,348600
"Calhoun County, Florida",12,013,118100
"Charlotte County, Florida",12,015,265800
"Citrus County, Florida",12,017,190800
"Clay County, Florida",12,019,254500
"Collier County, Florida",12,021,443700
"Columbia County, Florida",12,023,165300
"DeSoto County, Florida",12,027,139500
"Dixie County, Florida",12,029,93200
"Duval County, Florida",12,031,251300
"Escambia County, Florida",12,033,206400
"Flagler County, Florida",12,035,293700
"Franklin County, Florida",12,037,236100
"Gadsden County, Florida",12,039,137300
"Gilchrist County, Florida",12,041,165500
"Glades County, Florida",12,043,91300
"Gulf County, Florida",12,045,197700
"Hamilton County, Florida",12,047,100800
"Hardee County, Florida",12,049,118700
"Hendry County, Florida",12,051,153200
"Hernando County, Florida",12,053,214700
"Highlands County, Florida",12,055,155900
"Hillsborough County, Florida",12,057,294900
"Holmes County, Florida",12,059,94900
"Indian River County, Florida",12,061,284400
"Jackson County, Florida",12,063,113300
"Jefferson County, Florida",12,065,167600
"Lafayette County, Florida",12,067,118600
"Lake County, Florida",12,069,262500
"Lee County, Florida",12,071,290900
"Leon County, Florida",12,073,256900
"Levy County, Florida",12,075,151800
"Liberty County, Florida",12,077,113300
"Madison County, Florida",12,079,92400
"Manatee County, Florida",12,081,323900
"Marion County, Florida",12,083,194900
"Martin County, Florida",12,085,359200
"Miami-Dade County, Florida",12,086,387000
"Monroe County, Florida",12,087,696900
"Nassau County, Florida",12,089,306800
"Okaloosa County, Florida",12,091,295400
"Okeechobee County, Florida",12,093,158500
"Orange County, Florida",12,095,329000
"Osceola County, Florida",12,097,285200
"Palm Beach County, Florida",12,099,368300
"Pasco County, Florida",12,101,233600
"Pinellas County, Florida",12,103,284300
"Polk County, Florida",12,105,215700
"Putnam County, Florida",12,107,125700
"St. Johns County, Florida",12,109,416100
"St. Lucie County, Florida",12,111,275900
"Santa Rosa County, Florida",12,113,272500
"Sarasota County, Florida",12,115,338500
"Seminole County, Florida",12,117,329300
"Sumter County, Florida",12,119,324400
"Suwannee County, Florida",12,121,136500
"Taylor County, Florida",12,123,89300
"Union County, Florida",12,125,146200
"Volusia County, Florida",12,127,251400
"Wakulla County, Florida",12,129,198600
"Walton County, Florida",12,131,327000
"Washington County, Florida",12,133,137600
"Appling County, Georgia",13,001,88500
"Atkinson County, Georgia",13,003,77100
"Bacon County, Georgia",13,005,95600
"Baker County, Georgia",13,007,121600
"Baldwin County, Georgia",13,009,154400
"Banks County, Georgia",13,011,229900
"Barrow County, Georgia",13,013,228400
"Bartow County, Georgia",13,015,237000
"Ben Hill County, Georgia",13,017,100000
"Berrien County, Georgia",13,019,108300
