"region_code","region_name","population","young_0_17_rate","working_18_64_rate","elderly_65_plus_rate","male_rate","female_rate","single_rate","married_rate","widowed_rate","divorced_rate","growth_per1000"
"1481","Mölndal","71420","216.115933912069","619.924390926911","163.959675161019","503.122374684962","496.877625315038","548.935872304677","335.69028283394","30.663679641557","84.7101652198264","12.405488658639"
"1482","Kungälv","50313","219.406515214756","573.470077316002","207.123407469243","498.221135690577","501.778864309423","517.381193727267","353.646174944845","40.9238169061674","88.04881442172","10.494305646652"
"1484","Lysekil","13907","169.986337815489","497.303516214856","332.710145969656","502.265046379521","497.734953620479","446.465808585604","380.096354353922","62.1269864097217","111.310850650751","-4.4581865247717"
"1485","Uddevalla","57010","211.419049289598","564.058937028591","224.52201368181","500.105244693913","499.894755306087","523.522189089633","326.907560077179","43.8344150149097","105.735835818277","-0.6139273811612"
"1486","Strömstad","13482","205.829995549622","557.187360925679","236.9826435247","510.532561934431","489.467438065569","513.276961875093","336.300252188103","47.1740097908322","103.248776145972","0.445037828215398"
"1487","Vänersborg","40041","207.037786269074","555.056067530781","237.906146200145","501.411053669988","498.588946330012","517.719337678879","332.733947703604","48.7500312180015","100.796683399516","0.724257635923179"
"1488","Trollhättan","59003","207.345389217497","594.91890242869","197.735708353813","504.940426757961","495.059573242039","538.633628798536","320.051522803925","41.5233123739471","99.791536023592","-1.18638035354135"
"1489","Alingsås","42722","218.107766490333","549.552923552268","232.339309957399","494.850428350733","505.149571649267","514.793314919713","343.804129020177","46.4163662749871","94.9861897851224","7.9584289125041"
"1490","Borås","114872","209.972839334215","592.964342920816","197.062817744968","501.375443972421","498.624556027579","537.824709241591","319.29451911693","40.0271606657845","102.853610975695","2.4374956473292"
"1491","Ulricehamn","24985","205.483289973984","548.28897338403","246.227736641985","507.984790874525","492.015209125475","516.189713828297","342.365419251551","48.2289373624174","93.2159295577346","-4.08244946968181"
"1492","Åmål","11906","188.560389719469","525.365362002352","286.074248278179","502.099781622711","497.900218377289","512.178733411725","322.106500923904","58.4579203762809","107.25684528809","-8.39912649084495"
"1493","Mariestad","24583","186.75507464508","544.075173900663","269.169751454257","504.210226579343","495.789773420657","515.437497457593","337.509661147948","51.0922181995688","95.9606231948908","-2.60342513118822"
"1494","Lidköping","40425","197.600494743352","556.907854050711","245.491651205937","503.203463203463","496.796536796537","521.236858379715","338.775510204082","50.3401360544218","89.6474953617811","-2.82003710575139"
"1495","Skara","18707","199.871705778586","564.975677553857","235.152616667558","502.164964986369","497.835035013631","526.80814668306","325.760410541509","49.9812904260437","97.4501523493879","2.83316405623563"
"1496","Skövde","57995","202.345029743943","596.568669712906","201.08630054315","507.078196396241","492.921803603759","564.221053539098","308.061039744806","42.4002069143892","85.3176998017071","4.00034485731529"
"1497","Hjo","9350","198.716577540107","526.951871657754","274.331550802139","503.743315508021","496.256684491979","511.657754010695","338.930481283422","51.4438502673797","97.9679144385027","9.83957219251337"
"1498","Tidaholm","12805","201.405700898087","548.067161265131","250.527137836783","507.770402186646","492.229597813354","540.882467786021","318.703631393987","48.8871534556814","91.5267473643108","-2.65521280749707"
"1499","Falköping","32806","210.815094799732","557.672377004207","231.512528196062","503.596903005548","496.403096994452","528.317990611474","331.890507833933","47.0950435895873","92.6964579650064","-5.63921233920624"
